index,대화0,대화1,대화2,대화3,대화4,대화5
176,blank,blank,blank,blank,blank,"When I was child, I used to get scared when lights were out. In fact, I'm scared till now."
177,blank,blank,blank,blank,blank,"When it's dark, nothing can be seen. So it's frustrating."
178,blank,blank,blank,blank,blank,I used to go to the beach but I couldn't swim so I made a sandcastle.
179,blank,blank,blank,blank,blank,"When my ears are close to shells, I can hear the sound of the sea."
180,blank,blank,blank,blank,blank,The sound of the sea makes me sleep.
181,blank,blank,blank,blank,blank,"When flowers bloom, I feel good too."
182,blank,blank,blank,blank,blank,"When I was took a ride on the carousel, it was beautiful."
183,blank,blank,blank,blank,blank,"Even if I'm lazy, I need to move when I have to."
184,blank,blank,blank,blank,blank,I saw a baby when I took a walk.
185,blank,blank,blank,blank,blank,Climbing a mountain is a little hard for me.
186,blank,blank,blank,blank,blank,The night view is beautiful everytime.
187,blank,blank,blank,blank,blank,I want to see a rainbow after the rainfall.
188,blank,blank,blank,blank,blank,I have to wear a mask after the dust gets severe.
189,blank,blank,blank,blank,blank,I feel refreshed after sleeping.
190,blank,blank,blank,blank,blank,There's a lot of bees in spring. They even came into my room once.
191,blank,blank,blank,blank,blank,Newspapers are delivered right on time everyday.
192,blank,blank,blank,blank,blank,It's refreshing to drink a cup of coffee outside.
193,blank,blank,blank,blank,blank,"^Which one do you like to eat, warm or cold?|Warm|When I eat warm things, I like to feel warmth spreading to my body. Just want to drink hot cocoa with marshmallows.|Cold|You can cool it down with a cold thing. Just want to take Patbingsu(Ice flakes with redbean) in the hot summer."
194,blank,blank,blank,blank,blank,"^Did you see the bird fly away?|I saw it|Does it mean that the rain is less coming? I'm not sure of it.|I don't|Did I see it wrong? If I saw a bird, I think it might rain a little."
195,blank,blank,blank,blank,blank,"^There's a valley I've ever visit, and it was really clean and nice. When the rain stops, why don't we go together?|Great|It'll be fun. We can have a good time, go fishing and have some delicious food.|No thanks|You don't seem to like valley. It's also good to stay at home."
196,blank,blank,blank,blank,blank,"^Which one is your favorite? Candy or chocolate?| Candy|Candies can be melted or bitten and eaten right away. I can eat it in various ways.|Chocolate|If I melt chocolate in my mouth, it would warm my body in this weather."
197,blank,blank,blank,blank,blank,"^I think I should go get my hair cut. Do you want to join?|Okay|Then please help me pick a hairstyle that fits me well.|No thanks|Well, let's go together later or I can go alone."
198,blank,blank,blank,blank,blank,"^Have you ever put rice cake in instant noodle?|Yes|I sometimes do. It tastes better when rice cake get mushy in instant noodle soup.|No|Then you can put other ingredients like egg, scallion in."
199,blank,blank,blank,blank,blank,"^It's a nice day to meditate, isn't it?| Right|So do you want to join me? Well, I'm already doing it.|Well|There might be a good day to meditate, But maybe not today."
200,blank,blank,blank,blank,blank,"^Do you believe your life will get better?|Yes|Me, too. As the rain stops and the sun shines, our life will be bright as well.|Definitely|Right. If you wait and persevere, it gets better."
201,blank,blank,blank,blank,blank,"^As I asked you before, do you like talking with me?|Yes |(They turned and looked at me.) Me, too. It's hard to speak up...| No |You may not like some aspects of me. But coming to meet me often means you don't hate me."
